draw,cards_left,p_lose,p_win,bank_value,reward,ev_win,ev_lose,ev_draw,rw_round,bn_rd,ev_win_rd,ev_lose_rd,ev_rd
1,17,0.058823529411764705,0.9411764705882353,0,10.625,10,0,10,10.5,0,9.882352941176471,0,9.882352941176471
2,16,0.0625,0.9375,10.625,11.375,10.6640625,0.6640625,10,11.5,10.5,10.78125,0.65625,10.125
3,15,0.06666666666666667,0.9333333333333333,22,12.285714285714286,11.466666666666667,1.4666666666666666,10,12.5,22,11.666666666666666,1.4666666666666666,10.2
4,14,0.07142857142857142,0.9285714285714286,34.285714285714285,13.406593406593405,12.448979591836734,2.4489795918367343,10,13.5,34.5,12.535714285714286,2.464285714285714,10.071428571428573
5,13,0.07692307692307693,0.9230769230769231,47.69230769230769,14.807692307692307,13.668639053254438,3.668639053254438,10,15,48,13.846153846153847,3.6923076923076925,10.153846153846153
6,12,0.08333333333333333,0.9166666666666666,62.5,16.59090909090909,15.208333333333332,5.208333333333333,10,16.5,63,15.125,5.25,9.875
7,11,0.09090909090909091,0.9090909090909091,79.0909090909091,18.90909090909091,17.1900826446281,7.1900826446281,10,19,79.5,17.272727272727273,7.2272727272727275,10.045454545454547
8,10,0.1,0.9,98,22,19.8,9.8,10,22,98.5,19.8,9.850000000000001,9.95
9,9,0.1111111111111111,0.8888888888888888,120,26.25,23.333333333333332,13.333333333333332,10,26,120.5,23.11111111111111,13.388888888888888,9.722222222222223
10,8,0.125,0.875,146.25,32.32142857142857,28.28125,18.28125,10,32.5,146.5,28.4375,18.3125,10.125
11,7,0.14285714285714285,0.8571428571428572,178.57142857142856,41.42857142857142,35.51020408163265,25.51020408163265,10,41.5,179,35.57142857142858,25.57142857142857,10.000000000000007
12,6,0.16666666666666666,0.8333333333333334,219.99999999999997,55.999999999999986,46.66666666666666,36.66666666666666,10,56,220.5,46.66666666666667,36.75,9.916666666666671
13,5,0.2,0.8,275.99999999999994,81.49999999999999,65.19999999999999,55.19999999999999,10,81.5,276.5,65.2,55.300000000000004,9.899999999999999
14,4,0.25,0.75,357.49999999999994,132.49999999999997,99.37499999999997,89.37499999999999,9.999999999999986,132.5,358,99.375,89.5,9.875
15,3,0.3333333333333333,0.6666666666666667,489.9999999999999,259.9999999999999,173.3333333333333,163.3333333333333,10,260,490.5,173.33333333333334,163.5,9.833333333333343
16,2,0.5,0.5,749.9999999999998,769.9999999999998,384.9999999999999,374.9999999999999,10,770,750.5,385,375.25,9.75
17,1,1,0,1519.9999999999995,Inf,NA,1519.9999999999995,NA,Inf,1520.5,NA,1520.5,NA
