draw,cards_left,p_lose,p_win,bank_value,reward,ev_win,ev_lose,ev_draw,rw_round,bn_rd,ev_win_rd,ev_lose_rd,ev_rd
1,65,0.015384615384615385,0.9846153846153847,0,10.15625,10,0,10,10,0,9.846153846153847,0,9.846153846153847
2,64,0.015625,0.984375,10.15625,10.319940476190476,10.15869140625,0.15869140625,10,10.5,10,10.3359375,0.15625,10.1796875
3,63,0.015873015873015872,0.9841269841269842,20.476190476190474,10.491551459293394,10.325018896447467,0.32501889644746784,10,10.5,20.5,10.333333333333334,0.32539682539682535,10.007936507936508
4,62,0.016129032258064516,0.9838709677419355,30.96774193548387,10.671602326811211,10.499479708636837,0.49947970863683655,10,10.5,31,10.330645161290322,0.5,9.830645161290322
5,61,0.01639344262295082,0.9836065573770492,41.63934426229508,10.860655737704917,10.68261220102123,0.6826122010212309,10,11,41.5,10.819672131147541,0.6803278688524591,10.139344262295083
6,60,0.016666666666666666,0.9833333333333333,52.5,11.059322033898306,10.875,0.875,10,11,52.5,10.816666666666666,0.875,9.941666666666666
7,59,0.01694915254237288,0.9830508474576272,63.559322033898304,11.268264172998247,11.077276644642344,1.077276644642344,10,11.5,63.5,11.305084745762713,1.076271186440678,10.228813559322035
8,58,0.017241379310344827,0.9827586206896551,74.82758620689656,11.48820326678766,11.290130796670631,1.2901307966706304,10,11.5,75,11.301724137931034,1.293103448275862,10.00862068965517
9,57,0.017543859649122806,0.9824561403508771,86.31578947368422,11.719924812030076,11.514312096029547,1.5143120960295475,10,11.5,86.5,11.298245614035087,1.5175438596491226,9.780701754385964
10,56,0.017857142857142856,0.9821428571428571,98.03571428571429,11.964285714285715,11.75063775510204,1.750637755102041,10,12,98,11.785714285714285,1.75,10.035714285714285
11,55,0.01818181818181818,0.9818181818181818,110,12.222222222222221,12,2,10,12,110,11.781818181818181,2,9.781818181818181
12,54,0.018518518518518517,0.9814814814814815,122.22222222222223,12.49475890985325,12.263374485596708,2.263374485596708,10,12.5,122,12.268518518518519,2.259259259259259,10.00925925925926
13,53,0.018867924528301886,0.9811320754716981,134.7169811320755,12.783018867924529,12.54182983268067,2.5418298326806696,10,13,134.5,12.754716981132075,2.5377358490566038,10.216981132075471
14,52,0.019230769230769232,0.9807692307692307,147.50000000000003,13.088235294117649,12.836538461538462,2.836538461538462,10,13,147.5,12.75,2.8365384615384617,9.913461538461538
15,51,0.0196078431372549,0.9803921568627451,160.58823529411768,13.411764705882355,13.14878892733564,3.148788927335641,10,13.5,160.5,13.235294117647058,3.1470588235294117,10.088235294117647
16,50,0.02,0.98,174.00000000000003,13.755102040816327,13.48,3.4800000000000004,10,14,174,13.719999999999999,3.48,10.239999999999998
17,49,0.02040816326530612,0.9795918367346939,187.75510204081635,14.119897959183673,13.83173677634319,3.8317367763431904,10,14,188,13.714285714285714,3.836734693877551,9.877551020408163
18,48,0.020833333333333332,0.9791666666666666,201.87500000000003,14.507978723404257,14.205729166666668,4.205729166666667,10,14.5,202,14.197916666666666,4.208333333333333,9.989583333333332
19,47,0.02127659574468085,0.9787234042553191,216.38297872340428,14.921369102682702,14.60389316432775,4.603893164327751,10,15,216.5,14.680851063829786,4.6063829787234045,10.074468085106382
20,46,0.021739130434782608,0.9782608695652174,231.30434782608697,15.362318840579709,15.028355387523629,5.0283553875236295,10,15.5,231.5,15.16304347826087,5.032608695652174,10.130434782608695
21,45,0.022222222222222223,0.9777777777777777,246.66666666666669,15.833333333333334,15.481481481481481,5.481481481481482,10,16,247,15.644444444444444,5.488888888888889,10.155555555555555
22,44,0.022727272727272728,0.9772727272727273,262.5,16.33720930232558,15.96590909090909,5.965909090909091,10,16.5,263,16.125,5.9772727272727275,10.147727272727273
23,43,0.023255813953488372,0.9767441860465116,278.83720930232556,16.877076411960132,16.48458626284478,6.484586262844781,9.999999999999998,17,279.5,16.604651162790695,6.5,10.104651162790695
24,42,0.023809523809523808,0.9761904761904762,295.71428571428567,17.456445993031355,17.04081632653061,7.040816326530611,10,17.5,296.5,17.083333333333332,7.059523809523809,10.023809523809522
25,41,0.024390243902439025,0.975609756097561,313.17073170731703,18.079268292682926,17.638310529446755,7.638310529446757,9.999999999999998,18,314,17.5609756097561,7.658536585365854,9.902439024390244
26,40,0.025,0.975,331.24999999999994,18.75,18.28125,8.281249999999998,10.000000000000002,19,332,18.525,8.3,10.224999999999998
27,39,0.02564102564102564,0.9743589743589743,349.99999999999994,19.47368421052631,18.97435897435897,8.974358974358973,9.999999999999998,19.5,351,19,9,10
28,38,0.02631578947368421,0.9736842105263158,369.47368421052624,20.256045519203415,19.722991689750693,9.72299168975069,10.000000000000002,20.5,370.5,19.960526315789473,9.75,10.210526315789473
29,37,0.02702702702702703,0.972972972972973,389.7297297297297,21.103603603603602,20.533235938641344,10.533235938641344,10,21,391,20.432432432432435,10.567567567567568,9.864864864864867
30,36,0.027777777777777776,0.9722222222222222,410.83333333333326,22.023809523809522,21.412037037037035,11.412037037037035,10,22,412,21.38888888888889,11.444444444444445,9.944444444444445
31,35,0.02857142857142857,0.9714285714285714,432.8571428571428,23.02521008403361,22.367346938775505,12.367346938775507,9.999999999999998,23,434,22.34285714285714,12.4,9.942857142857141
32,34,0.029411764705882353,0.9705882352941176,455.8823529411764,24.117647058823525,23.408304498269892,13.408304498269894,9.999999999999998,24,457,23.294117647058822,13.441176470588236,9.852941176470587
33,33,0.030303030303030304,0.9696969696969697,479.99999999999994,25.3125,24.545454545454547,14.545454545454545,10.000000000000002,25.5,481,24.727272727272727,14.575757575757576,10.15151515151515
34,32,0.03125,0.96875,505.31249999999994,26.62298387096774,25.791015625,15.791015624999998,10.000000000000002,26.5,506.5,25.671875,15.828125,9.84375
35,31,0.03225806451612903,0.967741935483871,531.9354838709677,28.064516129032256,27.15920915712799,17.15920915712799,10,28,533,27.096774193548388,17.193548387096772,9.903225806451616
36,30,0.03333333333333333,0.9666666666666667,560,29.655172413793103,28.666666666666668,18.666666666666668,10,29.5,561,28.516666666666666,18.7,9.816666666666666
37,29,0.034482758620689655,0.9655172413793104,589.6551724137931,31.416256157635466,30.33293697978597,20.33293697978597,10,31.5,590.5,30.413793103448278,20.362068965517242,10.051724137931036
38,28,0.03571428571428571,0.9642857142857143,621.0714285714286,33.37301587301587,32.18112244897959,22.18112244897959,10.000000000000004,33.5,622,32.30357142857143,22.21428571428571,10.089285714285719
39,27,0.037037037037037035,0.962962962962963,654.4444444444445,35.55555555555556,34.23868312757202,24.238683127572017,10,35.5,655.5,34.18518518518519,24.277777777777775,9.907407407407415
40,26,0.038461538461538464,0.9615384615384616,690,38,36.53846153846154,26.53846153846154,10,38,691,36.53846153846154,26.576923076923077,9.961538461538463
41,25,0.04,0.96,728,40.75000000000001,39.120000000000005,29.12,10.000000000000004,41,729,39.36,29.16,10.2
42,24,0.041666666666666664,0.9583333333333334,768.75,43.858695652173914,42.03125,32.03125,10,44,770,42.16666666666667,32.08333333333333,10.083333333333343
43,23,0.043478260869565216,0.9565217391304348,812.6086956521739,47.391304347826086,45.33081285444234,35.33081285444234,10,47.5,814,45.434782608695656,35.391304347826086,10.04347826086957
44,22,0.045454545454545456,0.9545454545454546,860,51.42857142857143,49.09090909090909,39.09090909090909,10,51.5,861.5,49.159090909090914,39.159090909090914,10
45,21,0.047619047619047616,0.9523809523809523,911.4285714285714,56.07142857142858,53.40136054421769,43.40136054421769,10,56,913,53.33333333333333,43.476190476190474,9.857142857142854
46,20,0.05,0.95,967.5,61.44736842105264,58.375,48.375,10,61.5,969,58.425,48.45,9.974999999999994
47,19,0.05263157894736842,0.9473684210526316,1028.9473684210527,67.71929824561404,64.15512465373962,54.15512465373961,10.000000000000007,67.5,1030.5,63.94736842105264,54.23684210526316,9.71052631578948
48,18,0.05555555555555555,0.9444444444444444,1096.6666666666667,75.09803921568627,70.92592592592592,60.925925925925924,10,75,1098,70.83333333333333,61,9.833333333333329
49,17,0.058823529411764705,0.9411764705882353,1171.764705882353,83.86029411764706,78.92733564013841,68.92733564013841,10,84,1173,79.05882352941177,69,10.058823529411768
50,16,0.0625,0.9375,1255.625,94.375,88.4765625,78.4765625,10,94.5,1257,88.59375,78.5625,10.03125
51,15,0.06666666666666667,0.9333333333333333,1350,107.14285714285714,100,90,10,107,1351.5,99.86666666666667,90.1,9.76666666666668
52,14,0.07142857142857142,0.9285714285714286,1457.142857142857,122.85714285714285,114.08163265306122,104.08163265306122,10,123,1458.5,114.21428571428572,104.17857142857142,10.035714285714306
53,13,0.07692307692307693,0.9230769230769231,1580,142.5,131.53846153846155,121.53846153846155,10,142.5,1581.5,131.53846153846155,121.65384615384616,9.884615384615387
54,12,0.08333333333333333,0.9166666666666666,1722.5,167.5,153.54166666666666,143.54166666666666,10,167.5,1724,153.54166666666666,143.66666666666666,9.875
