draw,cards_left,p_lose,p_win,bank_value,reward,ev_win,ev_lose,ev_draw,rw_round,bn_rd,ev_win_rd,ev_lose_rd,ev_rd
1,33,0.030303030303030304,0.9696969696969697,0,10.3125,10,0,10,10.5,0,10.181818181818182,0,10.181818181818182
2,32,0.03125,0.96875,10.3125,10.65524193548387,10.322265625,0.322265625,10,10.5,10.5,10.171875,0.328125,9.84375
3,31,0.03225806451612903,0.967741935483871,20.967741935483872,11.032258064516128,10.676378772112383,0.676378772112383,10,11,21,10.64516129032258,0.6774193548387096,9.96774193548387
4,30,0.03333333333333333,0.9666666666666667,32,11.448275862068964,11.066666666666666,1.0666666666666667,10,11.5,32,11.116666666666667,1.0666666666666667,10.05
5,29,0.034482758620689655,0.9655172413793104,43.44827586206897,11.908866995073891,11.49821640903686,1.498216409036861,10,12,43.5,11.586206896551724,1.5,10.086206896551724
6,28,0.03571428571428571,0.9642857142857143,55.35714285714286,12.420634920634921,11.97704081632653,1.9770408163265307,10,12.5,55.5,12.053571428571429,1.982142857142857,10.071428571428571
7,27,0.037037037037037035,0.962962962962963,67.77777777777779,12.99145299145299,12.510288065843621,2.5102880658436217,10,13,68,12.518518518518519,2.518518518518518,10
8,26,0.038461538461538464,0.9615384615384616,80.76923076923077,13.630769230769232,13.106508875739646,3.1065088757396455,10,13.5,81,12.980769230769232,3.1153846153846154,9.865384615384617
9,25,0.04,0.96,94.4,14.35,13.776,3.7760000000000002,10,14.5,94.5,13.92,3.7800000000000002,10.14
10,24,0.041666666666666664,0.9583333333333334,108.75,15.16304347826087,14.53125,4.53125,10,15,109,14.375,4.541666666666666,9.833333333333334
11,23,0.043478260869565216,0.9565217391304348,123.91304347826087,16.08695652173913,15.387523629489602,5.387523629489603,9.999999999999998,16,124,15.304347826086957,5.391304347826087,9.913043478260871
12,22,0.045454545454545456,0.9545454545454546,140,17.142857142857142,16.363636363636363,6.363636363636364,10,17,140,16.227272727272727,6.363636363636364,9.863636363636363
13,21,0.047619047619047616,0.9523809523809523,157.14285714285714,18.357142857142858,17.482993197278912,7.482993197278911,10,18.5,157,17.619047619047617,7.476190476190475,10.142857142857142
14,20,0.05,0.95,175.5,19.763157894736842,18.775,8.775,9.999999999999998,20,175.5,19,8.775,10.225
15,19,0.05263157894736842,0.9473684210526316,195.26315789473685,21.403508771929822,20.277008310249307,10.277008310249307,10,21.5,195.5,20.36842105263158,10.289473684210526,10.078947368421053
16,18,0.05555555555555555,0.9444444444444444,216.66666666666669,23.333333333333336,22.037037037037038,12.037037037037038,10,23.5,217,22.194444444444443,12.055555555555555,10.138888888888888
17,17,0.058823529411764705,0.9411764705882353,240.00000000000003,25.625,24.11764705882353,14.11764705882353,9.999999999999998,25.5,240.5,24,14.147058823529411,9.852941176470589
18,16,0.0625,0.9375,265.625,28.375,26.6015625,16.6015625,10,28.5,266,26.71875,16.625,10.09375
19,15,0.06666666666666667,0.9333333333333333,294,31.714285714285715,29.6,19.6,10,31.5,294.5,29.400000000000002,19.633333333333333,9.76666666666667
20,14,0.07142857142857142,0.9285714285714286,325.7142857142857,35.82417582417582,33.265306122448976,23.26530612244898,9.999999999999996,36,326,33.42857142857143,23.285714285714285,10.142857142857146
21,13,0.07692307692307693,0.9230769230769231,361.53846153846155,40.96153846153847,37.81065088757397,27.810650887573967,10.000000000000004,41,362,37.84615384615385,27.846153846153847,10
22,12,0.08333333333333333,0.9166666666666666,402.5,47.5,43.541666666666664,33.541666666666664,10,47.5,403,43.541666666666664,33.58333333333333,9.958333333333336
23,11,0.09090909090909091,0.9090909090909091,450,56.00000000000001,50.909090909090914,40.909090909090914,10,56,450.5,50.90909090909091,40.95454545454545,9.954545454545453
24,10,0.1,0.9,506,67.33333333333333,60.599999999999994,50.6,9.999999999999993,67.5,506.5,60.75,50.650000000000006,10.099999999999994
25,9,0.1111111111111111,0.8888888888888888,573.3333333333334,82.91666666666666,73.7037037037037,63.7037037037037,9.999999999999993,83,574,73.77777777777777,63.77777777777777,10
26,8,0.125,0.875,656.25,105.17857142857143,92.03125,82.03125,10,105,657,91.875,82.125,9.75
27,7,0.14285714285714285,0.8571428571428572,761.4285714285714,138.57142857142856,118.77551020408163,108.77551020408163,10,138.5,762,118.71428571428572,108.85714285714285,9.857142857142875
28,6,0.16666666666666666,0.8333333333333334,900,192,160,150,10,192,900.5,160,150.08333333333331,9.916666666666686
29,5,0.2,0.8,1092,285.5,228.4,218.4,10,285.5,1092.5,228.4,218.5,9.900000000000006
30,4,0.25,0.75,1377.5,472.5,354.375,344.375,10,472.5,1378,354.375,344.5,9.875
31,3,0.3333333333333333,0.6666666666666667,1850,939.9999999999999,626.6666666666666,616.6666666666666,10,940,1850.5,626.6666666666667,616.8333333333333,9.833333333333485
32,2,0.5,0.5,2790,2810,1405,1395,10,2810,2790.5,1405,1395.25,9.75
33,1,1,0,5600,Inf,NA,5600,NA,Inf,5600.5,NA,5600.5,NA
